dataset;classifier;ifc;time1;time2;rmse
vowel;ibk;ifc;0.16;0.73;0.3423
vowel;ibk;nonifc;0;0.19;0.055
vowel;linreg;ifc;0.2;0.55;0.2825
vowel;linreg;nonifc;0.08;0.02;0.2859
vowel;logreg;ifc;0.22;0.5;0.2952
vowel;logreg;nonifc;0.05;0.02;0.286
vowel;m5p;ifc;0.36;0.48;0.2935
vowel;m5p;nonifc;0.22;0.02;0.2074
vowel;mlp;ifc;1.97;0.52;0.2979
vowel;mlp;nonifc;1.81;0.02;0.2513
vowel;smoreg;ifc;6.67;0.55;0.3013
vowel;smoreg;nonifc;4.28;0.03;0.3013
waveform;ibk;ifc;0.2;2.09;0.5659
waveform;ibk;nonifc;0.02;0.16;0.404
waveform;linreg;ifc;0.3;2.08;0.4399
waveform;linreg;nonifc;0.11;0.02;0.3589
waveform;logreg;ifc;0.27;1.84;0.527
waveform;logreg;nonifc;0.06;0.03;0.3172
waveform;m5p;ifc;0.36;1.89;0.4526
waveform;m5p;nonifc;0.28;0.02;0.3241
waveform;mlp;ifc;7.66;1.63;0.5234
waveform;mlp;nonifc;7.5;0.03;0.4301
waveform;smoreg;ifc;0.58;1.89;0.4467
waveform;smoreg;nonifc;0.28;0.03;0.3864
zoo;ibk;ifc;0.06;0.13;0
zoo;ibk;nonifc;0.02;0.03;0
zoo;linreg;ifc;0.14;0.14;0.2463
zoo;linreg;nonifc;0.09;0.02;0.5164
zoo;logreg;ifc;0.09;0.11;0.0005
zoo;logreg;nonifc;0.09;0.02;0.0057
zoo;m5p;ifc;0.11;0.09;0.4902
zoo;m5p;nonifc;0.13;0;0.7578
zoo;mlp;ifc;0.44;0.11;0.1661
zoo;mlp;nonifc;12.36;0.05;0.0354
zoo;smoreg;ifc;0.13;0.13;0.2448
zoo;smoreg;nonifc;0.08;0.02;0.0699
