dataset,classifier,ifc,time1,time2,rmse
iris,m5p,nonifc,0.08,0.02,0.0297
iris,mlp,ifc,0.19,0.08,0.0347
iris,mlp,nonifc,0.11,0.02,0.0206
iris,smoreg,ifc,0.2,0.08,0.085
iris,smoreg,nonifc,0.09,0.05,0.1544
kr-vs-kp,ibk,ifc,0.16,5.65,0.3109
kr-vs-kp,ibk,nonifc,0.02,0.48,0.2822
kr-vs-kp,linreg,ifc,0.3,3.5,0.2888
kr-vs-kp,linreg,nonifc,0.19,0.02,0.3136
kr-vs-kp,logreg,ifc,0.3,4.46,0.1676
kr-vs-kp,logreg,nonifc,0.13,0.05,0.1651
kr-vs-kp,m5p,ifc,0.66,3.51,0.1363
kr-vs-kp,m5p,nonifc,0.44,0.02,0.1304
kr-vs-kp,mlp,ifc,12.39,2.48,0.1626
kr-vs-kp,mlp,nonifc,15.83,0.05,0.2086
kr-vs-kp,smoreg,ifc,13.42,2.51,0.3551
kr-vs-kp,smoreg,nonifc,13.84,0.05,0.3899
labor,ibk,ifc,0.09,0.06,0.2962
labor,ibk,nonifc,0.02,0.05,0.2962
labor,linreg,ifc,0.17,0.09,0.331
labor,linreg,nonifc,0.05,0.02,0.309
labor,logreg,ifc,0.09,0.08,0.3155
labor,logreg,nonifc,0.03,0,0.3594
labor,m5p,ifc,0.23,0.09,0.3653
labor,m5p,nonifc,0.09,0,0.3671
labor,mlp,ifc,0.25,0.05,0.2741
labor,mlp,nonifc,0.41,0.02,0.2543
labor,smoreg,ifc,0.13,0.06,0.3817
labor,smoreg,nonifc,0.06,0.02,0.3804
letter,ibk,ifc,0.72,2.7,0.1771
letter,ibk,nonifc,0.02,0.61,0.1365
letter,linreg,ifc,0.87,2.4,0.1794
letter,linreg,nonifc,0.09,0.03,0.1924
letter,logreg,ifc,0.83,2.42,0.1486
letter,logreg,nonifc,0.09,0.03,0.1835
letter,m5p,ifc,1.17,2.5,0.1493
letter,m5p,nonifc,0.42,0.03,0.1359
letter,mlp,ifc,8.64,1.62,0.1807
letter,mlp,nonifc,6.96,0.05,0.1879
letter,smoreg,ifc,40.61,1.4,0.2075
letter,smoreg,nonifc,17.16,0.03,0.2076
segment,ibk,ifc,0.28,1.31,0.2403
segment,ibk,nonifc,0.02,0.11,0
segment,linreg,ifc,0.31,0.98,0.2801
segment,linreg,nonifc,0.09,0.02,0.1249
segment,logreg,ifc,0.34,0.84,0.2771
segment,logreg,nonifc,0.13,0.03,0.0327
segment,m5p,ifc,0.39,1.08,0.336
segment,m5p,nonifc,0.11,0,0.0217
segment,mlp,ifc,3.42,0.94,0.1608
segment,mlp,nonifc,3.84,0.05,0.0033
segment,smoreg,ifc,3.6,1,0.2649
segment,smoreg,nonifc,1.05,0.05,0.1306
sick,ibk,ifc,0.2,2.51,0.2197
sick,ibk,nonifc,0.02,0.14,0.2277
sick,linreg,ifc,0.59,2.39,0.1699
sick,linreg,nonifc,0.11,0.03,0.214
sick,logreg,ifc,0.36,1.78,0.1807
sick,logreg,nonifc,0.09,0.02,0.1811
sick,m5p,ifc,0.47,2.11,0.1592
sick,m5p,nonifc,0.22,0,0.1482
sick,mlp,ifc,6.47,1.22,0.1972
sick,mlp,nonifc,9.47,0.03,0.2748
sick,smoreg,ifc,6.04,1.5,0.2389
sick,smoreg,nonifc,6.04,0.03,0.2403
sonar,ibk,ifc,0.2,1.76,0.6578
sonar,ibk,nonifc,0.02,0.09,0.3861
sonar,linreg,ifc,0.25,1.87,0.501
sonar,linreg,nonifc,0.08,0.02,0.4892
sonar,logreg,ifc,0.23,1.55,0.6595
sonar,logreg,nonifc,0.09,0.02,0.5285
sonar,m5p,ifc,0.31,1.67,0.5067
sonar,m5p,nonifc,0.17,0.02,0.3886
sonar,mlp,ifc,6.46,1.3,0.5374
sonar,mlp,nonifc,7.05,0.03,0.4224
sonar,smoreg,ifc,0.51,1.62,0.5054
sonar,smoreg,nonifc,0.16,0.02,0.5209
soybean,ibk,ifc,0.05,0.98,0.2251
soybean,ibk,nonifc,0.02,0.08,0.1856
soybean,linreg,ifc,0.12,1.14,0.2007
soybean,linreg,nonifc,0.2,0.02,0.2149
soybean,logreg,ifc,0.11,0.95,0.2232
soybean,logreg,nonifc,0.22,0.02,0.3968
soybean,m5p,ifc,0.27,1.4,0.1944
soybean,m5p,nonifc,0.27,0.02,0.1993
soybean,mlp,ifc,4.88,1.33,0.2734
soybean,mlp,nonifc,21.2,0.05,0.2648
soybean,smoreg,ifc,2.34,1.12,0.2365
soybean,smoreg,nonifc,4.31,0.03,0.2418
splice,ibk,ifc,0.22,5.82,0.3603
splice,ibk,nonifc,0.02,0.34,0.4815
splice,linreg,ifc,0.42,4.81,0.2815
splice,linreg,nonifc,4.93,0.03,0.3037
splice,logreg,ifc,0.33,4.85,0.2944
splice,logreg,nonifc,1.44,0.03,0.3602
splice,m5p,ifc,0.55,5.65,0.2383
splice,m5p,nonifc,1.31,0.03,0.2415
splice,mlp,ifc,21.92,4.71,0.2761
splice,mlp,nonifc,381.69,0.45,0.3387
splice,smoreg,ifc,5.34,4.67,0.3636
